stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
44,44,Olmsted Rd. @ Hulme Court South,37.428936,-122.154857,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=44
45,45,Olmsted Rd. @ Barnes Ct. West,37.428876,-122.1519,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=45
46,46,Olmsted Rd. @ Barnes Ct East,37.428751,-122.151584,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=46
47,47,Olmsted Rd. @ Yale St. East,37.426457,-122.150761,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=47
48,48,Olmsted Rd. @ Yale West,37.426409,-122.150873,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=48
49,49,California Ave @ El Camino Real,37.425437,-122.145424,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=49
50,50,California Avenue  Near Ash Avenue,37.426119,-122.144923,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=50
51,51,California Avenue @ Ash,37.426659,-122.144623,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=51
52,52,California Avenue @ Birch St.,37.427307,-122.144142,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=52
53,53,Birch St. @ California Ave.,37.427532,-122.143721,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=53
55,55,California Avenue Caltrain Station,37.428798,-122.14263,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=55
61,62,Galvez St. @ El Camino Real,37.437004,-122.161065,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=62
62,63,El Camino Real @ Town and Country,37.437723,-122.16033,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=63
63,64,El Camino Real @ Homner Ave.,37.439116,-122.162419,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=64
65,66,Palo Alto Transit Center (CalTrain),37.443087,-122.164417,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=66
66,67,Lytton @ Alma St.,37.444391,-122.165114,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=67
67,68,Emerson @ Lytton Plaza,37.444461,-122.162536,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=68
68,69,Quarry Rd. @ Welch Rd.,37.435472,-122.173137,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=69
69,70,Quarry Rd. @ Psychiatry Parking Lot,37.43579,-122.172784,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=70
70,71,Quarry Rd @ Andronicos,37.438749,-122.171541,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=71
71,72,Quarry Rd @ Psychiatry,37.438332,-122.171459,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=72
72,73,Quarry Rd @ Medical Center,37.43358612,-122.1739731,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=73
73,74,Medical Center @ Quarry Rd.,37.433709,-122.17385,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=74
74,75,Quarry Rd. @ Medical School,37.432775,-122.174237,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=75
75,76,Serra St. @ Via Ortega,37.430166,-122.175192,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=76
77,78,Serra Mall @ Allen Bldg,37.430075,-122.175047,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=78
